artist,number_of_albums,number_of_songs,number_of_words,number_of_unique_words,most_repeated_word,most_repeated_word_count,top2_word,top2_word_count,top3_word,top3_word_count,top4_word,top4_word_count,top5_word,top5_word_count,artist_image,artist_image_old
2Pac,15,47,163358,9324,nigga,1296,see,882,life,833,know,736,fuck,655,https://drive.google.com/uc?id=18IWY6rb3bK0Kcii3bUnz5PUBs9fPttKp,../images/2Pac.png
21 Savage,6,49,34375,3486,nigga,541,yeah,496,bitch,418,shit,270,gang,232,https://drive.google.com/uc?id=1XaeZv03rk-EWuvfSeE_9Hk16QW25DINC,../images/21 Savage.png
50 Cent,24,132,120554,8607,nigga,1467,shit,881,know,795,yeah,681,bitch,546,https://drive.google.com/uc?id=1_m0mI5qYxOmnREvA1PFWNbCUhyH_b8AU,../images/50 Cent.png
A Tribe Called Quest,7,42,58196,7581,know,339,yo,325,make,286,yeah,241,gotta,213,https://drive.google.com/uc?id=1SPmt2R-HxJQvZ6oBAuHIueHI2qZnyham,../images/A Tribe Called Quest.png
A$AP Rocky,5,23,11949,3117,nigga,66,shit,65,bitch,64,yeah,56,know,52,https://drive.google.com/uc?id=1GPdOcRWskPVBR2wTw1Ur8aAaWoEJdxRZ,../images/A_AP Rocky.png
Aesop Rock,12,81,91215,16620,one,363,back,237,might,204,never,184,little,183,https://drive.google.com/uc?id=1ojgVv68pZ4O0yBb0KaygKayAN8SCRket,../images/Aesop Rock.png
Atmosphere,26,152,93724,9641,know,502,might,329,love,324,make,277,time,269,https://drive.google.com/uc?id=1ndzWlmAN8j1EDhV667g4XGfarDWhIiBs,../images/Atmosphere.png
Azealia Banks,6,51,25597,4434,ya,203,bitch,199,bitches,147,nigga,142,know,135,https://drive.google.com/uc?id=1nVZ1rF4bYob-dnOkU2I41cmZhcLA05sI,../images/Azealia Banks.png
Baby Keem,6,53,19798,2420,yeah,333,bitch,264,ayy,137,might,134,go,108,https://drive.google.com/uc?id=1ABh2Cc32M6E4hrYGjW701IkBjUj0vrjh,../images/Baby Keem.png
Big Daddy Kane,6,42,48939,6672,cause,226,man,224,know,213,kane,191,one,187,https://drive.google.com/uc?id=1yYEkGbs4MjNVkQu_nPnAVQ9chcFwM4Vz,../images/Big Daddy Kane.png
Big L,5,19,32322,4424,big,178,yo,147,shit,131,yeah,122,nigga,112,https://drive.google.com/uc?id=1KMk67BPhdpjVjHJ3tC4QYhVNCRnGJQQa,../images/Big L.png
Big Pun,3,16,23316,4491,shit,124,fuck,101,back,101,know,99,nigga,94,https://drive.google.com/uc?id=1QTcN-_9aonw4e_rr1HpTWHUycp_PhjsD,../images/Big Pun.png
Big Sean,9,92,81758,7718,know,628,yeah,509,man,428,shit,390,nigga,333,https://drive.google.com/uc?id=1_fgq_vjI-wVtL-DcFx5egMPHmrGY-Syt,../images/Big Sean.png
Cardi B,3,27,16421,2212,bitch,216,money,124,know,120,cardi,112,shit,100,https://drive.google.com/uc?id=1A_5ulkLO9d808u7O_cZVB2j5NRyRex12,../images/Cardi B.png
Chance the Rapper,6,42,35356,5254,know,288,yeah,210,fuck,162,love,142,ooh,136,https://drive.google.com/uc?id=12ZniBxPErNiIkciQPw7DYW3mvXgGL3ii,../images/Chance the Rapper.png
Chief Keef,39,380,212282,10072,bitch,2953,bang,2759,ayy,2467,nigga,2223,yeah,1609,https://drive.google.com/uc?id=15bqeJhpoplJ_CJp2Yyr4p8WsVS3--jA6,../images/Chief Keef.png
Childish Gambino,13,94,62984,6853,yeah,468,know,450,oh,361,shit,313,uh,289,https://drive.google.com/uc?id=1wXqb8116JXFfSApUFRCtYTe1XSPv4Phs,../images/Childish Gambino.png
Common,15,96,90587,10283,know,487,yeah,422,love,361,go,353,say,295,https://drive.google.com/uc?id=119WAm1qgX90OOjzejw76Wnl6y4eIx2jw,../images/Common.png
Cordae,5,53,33294,4795,shit,207,nigga,186,know,175,never,154,yeah,146,https://drive.google.com/uc?id=1Ge4GbPMZZrAyy-cv6wWvp8YcZCxXRByu,../images/Cordae.png
Cypress Hill,12,103,80276,9278,shit,393,cypress,366,one,350,hill,305,know,295,https://drive.google.com/uc?id=1RQoDLUlzDoJHayBqRAnAJwU2fKVzVZmK,../images/Cypress Hill.png
Danny Brown,10,93,49051,6418,nigga,469,go,289,know,278,bitch,219,back,209,https://drive.google.com/uc?id=1iWCJlHUiKwPIKpLaSEpyZveOMvHleH2a,../images/Danny Brown.png
De La Soul,11,68,68719,8940,know,338,yo,290,man,284,one,253,come,240,https://drive.google.com/uc?id=14v7yNuCIxPNmXerJIZtHjPemvESiLxC1,../images/De La Soul.png
DMX,13,62,98019,6553,know,887,nigga,782,uh,700,shit,671,dog,614,https://drive.google.com/uc?id=1Op5aZsdWAjNmtsQ199oZHhrYH1lyt-sD,../images/DMX.png
Doja Cat,4,44,23711,2692,yeah,451,oh,237,baby,197,know,166,go,161,https://drive.google.com/uc?id=1xgE7EzYBCSrPlNWbhThDDhthzlxvFLI8,../images/Doja Cat.png
Dr. Dre,5,25,30440,4245,nigga,258,shit,254,fuck,213,know,213,yeah,152,https://drive.google.com/uc?id=1ozNnk3waEXojfEXcVJZjDy_baJJee2M-,../images/Dr_ Dre.png
Drake,19,181,144571,10142,know,1476,yeah,1463,oh,729,shit,697,love,523,https://drive.google.com/uc?id=1b8ELKTKx9oifHg8hxywI1V8S7Z-INyIN,../images/Drake.png
Earl Sweatshirt,6,54,22170,5127,nigga,132,shit,126,bitch,102,know,99,fuck,91,https://drive.google.com/uc?id=1KTfaP7vN82_eszaerehQFT6rN61_Uaz9,../images/Earl Sweatshirt.png
Eminem,14,26,197897,14902,yeah,905,shit,842,back,810,know,806,fuck,743,https://drive.google.com/uc?id=1Sq9LdNkRuF-RS9nP1fn7LuGozA5e5hDR,../images/Eminem.png
Eric B & Rakim,4,18,17605,3301,make,100,clap,79,keep,71,one,65,say,64,https://drive.google.com/uc?id=1OQtCD3_jqwKL-uX9qrddyjDWWoTB0VFm,../images/Eric B_ _ Rakim.png
Future,26,221,175671,10084,yeah,2244,nigga,1440,fuck,974,know,956,bitch,853,https://drive.google.com/uc?id=1sLFaaAzubbtsjlkFxl5f6MXHqx5azbSF,../images/Future.png
Ghostface Killah,15,123,91664,11913,yo,527,shit,438,know,399,yeah,336,nigga,331,https://drive.google.com/uc?id=1lvrYGg-_wHO4FZuUAc3byaqYL2YIytUb,../images/Ghostface Killah.png
Gucci Mane,92,693,473331,19634,nigga,4163,gucci,3692,bitch,3076,money,2373,yeah,2366,https://drive.google.com/uc?id=10YilaIrEMwVP5M-f_1sz4rNCzz9ZjX4k,../images/Gucci Mane.png
Hopsin,7,10,63629,6276,know,404,shit,402,fuck,351,nigga,317,yeah,273,https://drive.google.com/uc?id=11EEqG4jWwE1hKhoJLdOtyFStHt-aoxQ6,../images/Hopsin.png
Ice Cube,13,81,96430,9143,nigga,739,fuck,652,know,633,ass,470,shit,455,https://drive.google.com/uc?id=1PtGWbSBaXqQCpmo_uVafUCJPDDq08WEE,../images/Ice Cube.png
Ice Spice,1,6,4127,728,grrah,109,damn,89,know,50,bitch,44,mood,42,https://drive.google.com/uc?id=1IBOBVJK_8FKPsIXAsCIZkIG4fMYGUJ74,../images/Ice Spice.png
J. Cole,10,52,78332,6649,nigga,827,yeah,584,know,570,shit,532,man,391,https://drive.google.com/uc?id=1MP435kp-qgpNMXXutPjLX-Si6OE5MCPV,../images/J. Cole.png
Jack Harlow,10,79,46124,5046,know,528,yeah,274,shit,222,time,173,might,170,https://drive.google.com/uc?id=13lFuYIIPyju3waBF3Fi2yGzvnCta2lq-,../images/Jack Harlow.png
JAY Z,17,74,136718,11020,know,990,uh,757,nigga,752,shit,600,yeah,552,https://drive.google.com/uc?id=1D8kxOQFrPt7-C69WZd3aGFNvBXWoUKpS,../images/JAY_Z.png
Jeezy,24,194,149977,9455,nigga,2151,yeah,1654,know,1294,shit,1047,fuck,708,https://drive.google.com/uc?id=1IymiwCFOP5kAWz0MlVOBjLTLpTNOaJVO,../images/Jeezy.png
Joey Bada$$,6,47,49741,6610,know,316,yeah,263,nigga,259,never,205,shit,196,https://drive.google.com/uc?id=1AeYExOotY0QdhcB2mL7e2SHIZAUa2Noy,../images/Joey Bada__.png
Joyner Lucas,6,17,59011,5440,yeah,477,know,391,nigga,348,shit,346,never,302,https://drive.google.com/uc?id=1u397tjMfHUXE2YstooEgdzopAjEHvLh6,../images/Joyner Lucas.png
Juice WRLD,9,63,33468,3321,yeah,553,oh,354,know,294,uh,270,woah,239,https://drive.google.com/uc?id=1xBuXd3FwOwaVYOyzJb39jn5IrNWv5b6x,../images/Juice WRLD.png
Kanye West,16,135,93789,8233,know,715,yeah,503,oh,487,go,363,right,323,https://drive.google.com/uc?id=1SQ_PaQCPtPeD1f4DT4Y7tqug7rjnQco3,../images/Kanye West.png
Kendrick Lamar,9,50,89270,9385,know,486,nigga,428,fuck,349,shit,303,one,288,https://drive.google.com/uc?id=1bpadFkMwQWQI4adC9SyP_xlM12gFB422,../images/Kendrick Lamar.png
Kid Cudi,11,113,53553,5404,oh,921,yeah,743,hmm,354,know,338,see,245,https://drive.google.com/uc?id=1il7Kej2TaaZ0YrMvb-ycNs-rmfbOVan8,../images/Kid Cudi.png
KMD,1,8,12062,2951,yeah,112,man,88,yo,69,one,62,ya,47,https://drive.google.com/uc?id=1hijR3X2XDahcODhQjjNWiua3gEIXhTGp,../images/KMD.png
Lauryn Hill,3,24,12944,2370,oh,135,know,112,love,97,marching,68,one,62,https://drive.google.com/uc?id=1qrbLqYw-tM_lsenj0sQc-zRP6DtrRhJW,../images/Lauryn Hill.png
Lil Nas X,3,23,8894,1442,yeah,134,know,103,oh,73,nigga,69,shit,63,https://drive.google.com/uc?id=1QfmiPQTPqdQ6iINKp3R8aBvyMZVeM1Pd,../images/Lil Nas X.png
Lil Uzi Vert,12,75,82719,5445,yeah,3360,ayy,771,know,747,bitch,743,woah,520,https://drive.google.com/uc?id=1itRKihI7gutshilPWy26j5oU_qdrkB1H,../images/Lil Uzi Vert.png
Lil Wayne,42,304,376256,19577,yeah,3720,nigga,3229,bitch,2314,know,2056,fuck,1772,https://drive.google.com/uc?id=1VlpCv3ELGUPaUHvyT2ud9hrgpHNwB8GM,../images/Lil Wayne.png
Lil Yachty,14,117,70210,6609,yeah,1121,bitch,763,nigga,520,fuck,509,know,449,https://drive.google.com/uc?id=1xMvVFYymDRRcVKAUdY5fJng2kXSD1dpE,../images/Lil Yachty.png
Lil´ Kim,9,60,64979,7046,bitch,380,know,378,uh,317,kim,292,yeah,275,https://drive.google.com/uc?id=1ookAowFXIVDUmxyTxlV9tCVz-eFWJHDQ,../images/Lil_ Kim.png
Logic,22,161,156890,10940,know,1547,yeah,1477,shit,1148,fuck,728,never,718,https://drive.google.com/uc?id=1vVZiWjm_2n-POCZ0hDt_rf8adjUGXsII,../images/Logic.png
Lupe Fiasco,16,101,96633,12265,go,558,yeah,537,know,363,back,326,see,306,https://drive.google.com/uc?id=1IIp8OJlZOPA8LbGPuJjRixQ2grXCVNCC,../images/Lupe Fiasco.png
Mac Miller,16,164,108609,8669,yeah,1128,know,615,shit,528,go,527,uh,452,https://drive.google.com/uc?id=1YpYnak2n_BCxLRZrNdVQle1FjzmgUM2o,../images/Mac Miller.png
Masta Ace,7,53,49893,6954,know,266,man,191,see,177,yeah,176,yo,171,https://drive.google.com/uc?id=1MITQMZJ9j58ieZ1oKAQVk5wnz6f3iWYz,../images/Masta Ace.png
Megan Thee Stallion,8,64,52814,4291,yeah,888,bitch,748,ayy,564,shit,477,know,420,https://drive.google.com/uc?id=1FwnnLaPS82RvmES6gOlcpT0Xvs9EcS50,../images/Megan Thee Stallion.png
MF DOOM,4,26,25996,5734,shit,88,know,84,one,74,man,72,might,72,https://drive.google.com/uc?id=1y0eHmky3OeE-2APbHfGmzLv9iwgZV4Kj,../images/MF DOOM.png
Migos,13,66,138278,9187,nigga,1643,know,835,bitch,819,yeah,802,fuck,658,https://drive.google.com/uc?id=1A-kRGZHte08L4s_Rc6bceA4q7cEJ_X0z,../images/Migos.png
Missy Elliott,7,45,48228,5022,uh,558,oh,482,yeah,473,know,298,huh,227,https://drive.google.com/uc?id=1XZpWx7BLSM1PtKljmHaVeYYwPWX0Jsyr,../images/Missy Elliott.png
Mobb Deep,15,81,99401,8909,nigga,741,shit,675,know,570,fuck,466,back,370,https://drive.google.com/uc?id=1zbGhG09nQzX4u3ge0bOHszUDistQwrlq,../images/Mobb Deep.png
Nas,22,137,168924,15043,know,762,yeah,692,shit,618,one,617,back,599,https://drive.google.com/uc?id=1udkhLJSUlx6gyWgCvp_hPZQb7_AQwkbf,../images/Nas.png
Nipsey Hussle,13,121,93572,7630,nigga,1228,know,571,shit,540,money,453,yeah,390,https://drive.google.com/uc?id=1vEO-Olbd_7yURPeSFPKN0iRHlx5UOlWX,../images/Nipsey Hussle.png
OutKast,7,42,65398,7239,know,359,yeah,328,uh,233,shit,223,nigga,208,https://drive.google.com/uc?id=1pbJ1zOSzNvbHMcbQVZ8HVBxroTeqSxOl,../images/OutKast.png
Playboi Carti,4,45,29445,2582,yeah,1747,bitch,531,uh,459,ooh,417,shit,248,https://drive.google.com/uc?id=1Su-HAhWjN2EN68SVAB6hjFj3Po37sV-S,../images/Playboi Carti.png
Pop Smoke,7,57,33563,3669,woo,567,yeah,488,uh,285,know,265,nigga,259,https://drive.google.com/uc?id=1uXljBQnLOqm9xtiCq7eTfzQbWDqopqk3,../images/Pop Smoke.png
Public Enemy,17,108,91529,9721,know,595,one,431,go,428,back,394,yo,385,https://drive.google.com/uc?id=1osL5Sfu8IxfVJlVY5kmnnGEnTSm9q9zT,../images/Public Enemy.png
Pusha T,7,51,29964,5360,nigga,229,yeah,150,money,145,know,144,see,110,https://drive.google.com/uc?id=1-rgigaBR-0-0nZhNAiwx1TmGGljHN_FA,../images/Pusha T.png
Queen Latifah,6,23,25264,3704,know,206,love,156,yeah,135,go,127,queen,121,https://drive.google.com/uc?id=1sYqSLII_bjFsZV0siGaewLatjpDKfM9i,../images/Queen Latifah.png
Run D.M.C.,7,50,36824,5102,run,263,rock,200,know,176,dumb,167,king,158,https://drive.google.com/uc?id=1FVbaKJfb5q02KI0LTGJ5yLAF7snVcPUI,../images/Run_DMC.png
Scarface,13,77,92596,8140,nigga,690,shit,531,fuck,442,know,418,back,326,https://drive.google.com/uc?id=1ctcpUFShxXRAvr00mJqxq6Vrm8acmlii,../images/Scarface.png
Slick Rick,5,25,25198,4468,rick,128,know,118,said,117,one,101,run,93,https://drive.google.com/uc?id=1sEXNQ-UvNRuACb9iuNSxE0IpRK77xHxd,../images/Slick Rick.png
Snoop Dogg,32,243,229928,13794,nigga,1633,yeah,1325,know,1293,shit,1079,dogg,932,https://drive.google.com/uc?id=12lKRL2apzSdxlOZ8Xjhx8-BlGx60CiS6,../images/Snoop Dogg.png
Talib Kweli,12,60,70492,8853,yeah,384,know,341,love,303,go,278,come,227,https://drive.google.com/uc?id=14CSySIKDdmDh99Hm4Rv4-AqKd2x9vEvl,../images/Talib Kweli.png
The Notorious B.I.G.,5,17,56348,6229,know,377,biggie,376,shit,352,nigga,350,back,320,https://drive.google.com/uc?id=1CHTSnX9buii-QKGxgrNDtR1w32nbR2IV,../images/The Notorious B.I.G..png
The Pharcyde,3,13,20436,3550,know,143,ya,135,shit,107,mama,90,nigga,84,https://drive.google.com/uc?id=1LuzfwDwsRMqQvYfsro1CBn-qdOSifkAr,../images/The Pharcyde.png
Travis Scott,6,62,41740,4959,yeah,869,know,395,oh,333,ooh,302,shit,198,https://drive.google.com/uc?id=1127aZbxKXUCfGhR4ZEqj8w3VSPFkP4nc,../images/Travis Scott.png
Vince Staples,11,85,39879,4867,yeah,409,know,271,love,254,never,240,nigga,232,https://drive.google.com/uc?id=1cVazoUDBDrMM1edNQt3RNhganTyd6EzJ,../images/Vince Staples.png
Wu-Tang Clan,9,53,72847,10952,yo,358,one,326,tang,296,shit,291,man,261,https://drive.google.com/uc?id=1wEOZUUE7cm6KSeql17kWX678pdCY9Tr9,../images/Wu_Tang Clan.png
Yasiin Bey,4,38,28843,5068,know,158,love,144,black,133,say,99,rock,98,https://drive.google.com/uc?id=1jDD60DgmaPhQWkBt1icBsC-rU5J100R-,../images/Yasiin Bey.png
Young Thug,19,146,144058,9356,yeah,2620,nigga,1089,know,1072,bitch,1010,baby,784,https://drive.google.com/uc?id=1wZeNP1lt2jA40zxze0iHSHfayh0xPkq8,../images/Young Thug.png
